,Code,Length,Gear,Species,Group,Ref,Absolute,Abs.l.95,Abs.u.95,Efficiency,Eff.l.95,Eff.u.95
373,GRP2,36,GOV,GRP2,GRP2,no,NA,NA,NA,0.215653875,0.093343371,0.33796438
374,GRP2,37,GOV,GRP2,GRP2,no,NA,NA,NA,0.257545541,0.135894494,0.379196587
375,GRP2,38,GOV,GRP2,GRP2,no,NA,NA,NA,0.302417,0.181846311,0.422987688
376,GRP2,39,GOV,GRP2,GRP2,no,NA,NA,NA,0.349585088,0.230319695,0.468850482
377,GRP2,40,GOV,GRP2,GRP2,Ref,0.280058705,NA,NA,0.398127619,0.28011008,0.516145157
378,GRP2,41,GOV,GRP2,GRP2,no,NA,NA,NA,0.447112009,0.330054256,0.564169762
379,GRP2,42,GOV,GRP2,GRP2,no,NA,NA,NA,0.495605678,0.379077999,0.612133357
380,GRP2,43,GOV,GRP2,GRP2,no,NA,NA,NA,0.542678045,0.426214261,0.659141828
381,GRP2,44,GOV,GRP2,GRP2,no,NA,NA,NA,0.587444506,0.470587808,0.704301205
382,GRP2,45,GOV,GRP2,GRP2,Ref,0.738933411,NA,NA,0.62906644,0.511407874,0.746725006
383,GRP2,46,GOV,GRP2,GRP2,no,NA,NA,NA,0.666707223,0.547976761,0.785437686
384,GRP2,47,GOV,GRP2,GRP2,no,NA,NA,NA,0.699530232,0.579670831,0.819389633
385,GRP2,48,GOV,GRP2,GRP2,no,NA,NA,NA,0.726712095,0.605917784,0.847506407
386,GRP2,49,GOV,GRP2,GRP2,no,NA,NA,NA,0.747734223,0.626352655,0.869115791
387,GRP2,50,GOV,GRP2,GRP2,Ref,1.064325823,NA,NA,0.76238281,0.640789683,0.883975937
388,GRP2,51,GOV,GRP2,GRP2,no,NA,NA,NA,0.770457301,0.64903032,0.891884282
389,GRP2,52,GOV,GRP2,GRP2,no,NA,NA,NA,0.771757141,0.650859987,0.892654294
390,GRP2,53,GOV,GRP2,GRP2,no,NA,NA,NA,0.766096902,0.646057221,0.886136583
391,GRP2,54,GOV,GRP2,GRP2,no,NA,NA,NA,0.753639106,0.634634758,0.872643453
392,GRP2,55,GOV,GRP2,GRP2,Ref,0.748161959,NA,NA,0.734894216,0.616869949,0.852918483
393,GRP2,56,GOV,GRP2,GRP2,no,NA,NA,NA,0.710387828,0.593101829,0.827673826
394,GRP2,57,GOV,GRP2,GRP2,no,NA,NA,NA,0.680645534,0.563747416,0.797543651
395,GRP2,58,GOV,GRP2,GRP2,no,NA,NA,NA,0.646199874,0.529319471,0.763080277
396,GRP2,59,GOV,GRP2,GRP2,no,NA,NA,NA,0.607743156,0.490514333,0.724971979
397,GRP2,60,GOV,GRP2,GRP2,Ref,0.284721162,NA,NA,0.566127452,0.448209237,0.684045667
398,GRP2,61,GOV,GRP2,GRP2,no,NA,NA,NA,0.522211781,0.403371916,0.641051646
399,GRP2,62,GOV,GRP2,GRP2,no,NA,NA,NA,0.476855163,0.357042405,0.596667922
400,GRP2,63,GOV,GRP2,GRP2,no,NA,NA,NA,0.430912211,0.310297583,0.551526838
401,GRP2,64,GOV,GRP2,GRP2,no,NA,NA,NA,0.385136162,0.264025231,0.506247093
402,GRP2,65,GOV,GRP2,GRP2,Ref,0.165353871,NA,NA,0.340178884,0.218897951,0.461459817
403,GRP2,66,GOV,GRP2,GRP2,no,NA,NA,NA,0.296687836,0.17556609,0.417809582
404,GRP2,67,GOV,GRP2,GRP2,no,NA,NA,NA,0.255310477,0.134670673,0.375950281
405,GRP2,68,GOV,GRP2,GRP2,no,NA,NA,NA,0.216683731,0.096825447,0.336542015
406,GRP2,69,GOV,GRP2,GRP2,no,NA,NA,NA,0.181202203,0.062291278,0.300113127
407,GRP2,70,GOV,GRP2,GRP2,Ref,0.084468879,NA,NA,0.149018178,0.031002865,0.267033491
408,GRP2,71,GOV,GRP2,GRP2,no,NA,NA,NA,0.120273407,0.002927983,0.237618832
409,GRP2,72,GOV,GRP2,GRP2,no,NA,NA,NA,0.095109642,-0.021892132,0.212111416
410,GRP2,73,GOV,GRP2,GRP2,no,NA,NA,NA,0.07366039,-0.043341385,0.190662164
411,GRP2,74,GOV,GRP2,GRP2,no,NA,NA,NA,0.055869575,-0.06147585,0.173215
412,GRP2,75,GOV,GRP2,GRP2,Ref,0.006924799,NA,NA,0.041491539,-0.076523774,0.159506852
413,GRP2,76,GOV,GRP2,GRP2,no,NA,NA,NA,0.030272382,-0.088638542,0.149183307
414,GRP2,77,GOV,GRP2,GRP2,no,NA,NA,NA,0.021958203,-0.097900081,0.141816487
415,GRP2,78,GOV,GRP2,GRP2,no,NA,NA,NA,0.016293786,-0.104346018,0.136933591
416,GRP2,79,GOV,GRP2,GRP2,no,NA,NA,NA,0.012993718,-0.108128028,0.134115464
417,GRP2,80,GOV,GRP2,GRP2,Ref,0.069659415,NA,NA,0.01174238,-0.109538553,0.133023313
418,GRP2,81,GOV,GRP2,GRP2,no,NA,NA,NA,0.012222842,-0.108888089,0.133333773
419,GRP2,82,GOV,GRP2,GRP2,no,NA,NA,NA,0.014118173,-0.106496454,0.134732801
420,GRP2,83,GOV,GRP2,GRP2,no,NA,NA,NA,0.017115098,-0.10269766,0.136927856
421,GRP2,84,GOV,GRP2,GRP2,no,NA,NA,NA,0.020984371,-0.097855494,0.139824236
422,GRP2,85,GOV,GRP2,GRP2,Ref,0.059603451,NA,NA,0.025580781,-0.092337434,0.143498996
423,GRP2,86,GOV,GRP2,GRP2,no,NA,NA,NA,0.030762771,-0.086466052,0.147991594
424,GRP2,87,GOV,GRP2,GRP2,no,NA,NA,NA,0.036388782,-0.080491622,0.153269185
425,GRP2,88,GOV,GRP2,GRP2,no,NA,NA,NA,0.042320465,-0.074577653,0.159218582
426,GRP2,89,GOV,GRP2,GRP2,no,NA,NA,NA,0.04849328,-0.068792719,0.165779278
427,GRP2,90,GOV,GRP2,GRP2,Ref,0.04816341,NA,NA,0.054916492,-0.063107775,0.172940759
428,GRP2,91,GOV,GRP2,GRP2,no,NA,NA,NA,0.061602578,-0.057401769,0.180606926
429,GRP2,92,GOV,GRP2,GRP2,no,NA,NA,NA,0.068564014,-0.051475667,0.188603695
430,GRP2,93,GOV,GRP2,GRP2,no,NA,NA,NA,0.075812769,-0.045084384,0.196709922
431,GRP2,94,GOV,GRP2,GRP2,no,NA,NA,NA,0.083349202,-0.038077779,0.204776183
432,GRP2,95,GOV,GRP2,GRP2,Ref,0.084516188,NA,NA,0.091162055,-0.030431072,0.212755182
433,GRP2,96,GOV,GRP2,GRP2,no,NA,NA,NA,0.099239568,-0.022142,0.220621136
434,GRP2,97,GOV,GRP2,GRP2,no,NA,NA,NA,0.107569978,-0.013224334,0.228364289
435,GRP2,98,GOV,GRP2,GRP2,no,NA,NA,NA,0.116138906,-0.003720495,0.235998306
436,GRP2,99,GOV,GRP2,GRP2,no,NA,NA,NA,0.12487175,0.006141288,0.243602212
437,GRP2,100,GOV,GRP2,GRP2,Ref,0.136775387,NA,NA,0.133633688,0.015975122,0.251292254
